"hypothesis","metric","term","estimate","SE","df_satterthwaite","t_value","p_value","LRT_interaction_chisq","LRT_interaction_p","singular","n_obs","n_subjects"
"H5_exercise_trajectory","RMSSD","(Intercept)",65.45956,5.16206,95.48261,12.68091,0,1.216,0.27016,FALSE,605,27
"H5_exercise_trajectory","RMSSD","protocolVBT",-12.50395,5.37657,597.31877,-2.32564,0.02037,1.216,0.27016,FALSE,605,27
"H5_exercise_trajectory","RMSSD","phase_pos",-0.48709,0.33479,579.46948,-1.45489,0.14624,1.216,0.27016,FALSE,605,27
"H5_exercise_trajectory","RMSSD","protocolVBT:phase_pos",0.49215,0.44605,580.38689,1.10336,0.27033,1.216,0.27016,FALSE,605,27
"H5_exercise_trajectory","SDNN","(Intercept)",55.41138,4.38688,99.32291,12.63117,0,0.0523,0.81908,FALSE,613,27
"H5_exercise_trajectory","SDNN","protocolVBT",1.224,4.61753,605.83587,0.26508,0.79104,0.0523,0.81908,FALSE,613,27
"H5_exercise_trajectory","SDNN","phase_pos",-0.45616,0.28815,587.80792,-1.58305,0.11395,0.0523,0.81908,FALSE,613,27
"H5_exercise_trajectory","SDNN","protocolVBT:phase_pos",0.08777,0.38369,588.2859,0.22876,0.81914,0.0523,0.81908,FALSE,613,27
"H5_exercise_trajectory","HF_log","(Intercept)",6.45489,0.26478,49.4845,24.37846,0,26.4262,0,FALSE,631,27
"H5_exercise_trajectory","HF_log","protocolVBT",-0.13238,0.20057,612.94516,-0.66004,0.50948,26.4262,0,FALSE,631,27
"H5_exercise_trajectory","HF_log","phase_pos",-0.15005,0.01262,604.75663,-11.89458,0,26.4262,0,FALSE,631,27
"H5_exercise_trajectory","HF_log","protocolVBT:phase_pos",0.08702,0.01674,605.13517,5.19793,0,26.4262,0,FALSE,631,27
"H5_exercise_trajectory","LF_log","(Intercept)",7.05403,0.18273,76.65165,38.60307,0,20.6736,1e-05,FALSE,631,27
"H5_exercise_trajectory","LF_log","protocolVBT",-0.09504,0.1731,619.26759,-0.54902,0.58319,20.6736,1e-05,FALSE,631,27
"H5_exercise_trajectory","LF_log","phase_pos",-0.10766,0.01093,605.79457,-9.85438,0,20.6736,1e-05,FALSE,631,27
"H5_exercise_trajectory","LF_log","protocolVBT:phase_pos",0.0665,0.0145,606.43712,4.58726,1e-05,20.6736,1e-05,FALSE,631,27
"H5_exercise_trajectory","LF_nu","(Intercept)",66.17082,2.70775,60.78826,24.43755,0,0.0143,0.90467,FALSE,631,27
"H5_exercise_trajectory","LF_nu","protocolVBT",-4.29293,2.3445,615.9392,-1.83106,0.06757,0.0143,0.90467,FALSE,631,27
"H5_exercise_trajectory","LF_nu","phase_pos",0.54263,0.14772,604.64264,3.67349,0.00026,0.0143,0.90467,FALSE,631,27
"H5_exercise_trajectory","LF_nu","protocolVBT:phase_pos",-0.02348,0.19603,605.17337,-0.11976,0.90471,0.0143,0.90467,FALSE,631,27
"H5_exercise_trajectory","HF_nu","(Intercept)",34.38614,2.77636,91.57892,12.38531,0,1.7655,0.18394,FALSE,631,27
"H5_exercise_trajectory","HF_nu","protocolVBT",6.23551,2.83961,621.79283,2.19591,0.02847,1.7655,0.18394,FALSE,631,27
"H5_exercise_trajectory","HF_nu","phase_pos",-0.16309,0.17961,605.00214,-0.90802,0.36423,1.7655,0.18394,FALSE,631,27
"H5_exercise_trajectory","HF_nu","protocolVBT:phase_pos",-0.31697,0.23832,605.81253,-1.33003,0.18401,1.7655,0.18394,FALSE,631,27
"H5_exercise_trajectory","LF_HF_ratio","(Intercept)",2.31356,0.4233,78.10133,5.46549,0,6.252,0.01241,FALSE,631,27
"H5_exercise_trajectory","LF_HF_ratio","protocolVBT",-0.16936,0.40589,619.53949,-0.41726,0.67663,6.252,0.01241,FALSE,631,27
"H5_exercise_trajectory","LF_HF_ratio","phase_pos",0.10107,0.02563,605.49377,3.94409,9e-05,6.252,0.01241,FALSE,631,27
"H5_exercise_trajectory","LF_HF_ratio","protocolVBT:phase_pos",-0.08529,0.034,606.16484,-2.50827,0.01239,6.252,0.01241,FALSE,631,27
"H5_exercise_trajectory","SD1","(Intercept)",54.85276,7.07386,47.67839,7.75429,0,15.2525,9e-05,FALSE,295,16
"H5_exercise_trajectory","SD1","protocolVBT",-13.53268,6.01595,290.03546,-2.24947,0.02523,15.2525,9e-05,FALSE,295,16
"H5_exercise_trajectory","SD1","phase_pos",-2.22853,0.36613,279.99362,-6.08664,0,15.2525,9e-05,FALSE,295,16
"H5_exercise_trajectory","SD1","protocolVBT:phase_pos",1.81927,0.45918,280.27749,3.96196,9e-05,15.2525,9e-05,FALSE,295,16
"H5_exercise_trajectory","SampEn","(Intercept)",1.06698,0.04479,122.17362,23.8192,0,2.4468,0.11777,FALSE,631,27
"H5_exercise_trajectory","SampEn","protocolVBT",-0.1183,0.04972,625.53758,-2.37918,0.01765,2.4468,0.11777,FALSE,631,27
"H5_exercise_trajectory","SampEn","phase_pos",-0.02101,0.00316,605.28584,-6.65729,0,2.4468,0.11777,FALSE,631,27
"H5_exercise_trajectory","SampEn","protocolVBT:phase_pos",0.00656,0.00419,606.268,1.56574,0.11793,2.4468,0.11777,FALSE,631,27
"H5_exercise_trajectory","alpha1","(Intercept)",1.17938,0.04955,54.04618,23.80271,0,0.0309,0.86048,FALSE,631,27
"H5_exercise_trajectory","alpha1","protocolVBT",-0.07978,0.04013,614.20641,-1.98813,0.04724,0.0309,0.86048,FALSE,631,27
"H5_exercise_trajectory","alpha1","phase_pos",0.00332,0.00253,604.55128,1.31367,0.18946,0.0309,0.86048,FALSE,631,27
"H5_exercise_trajectory","alpha1","protocolVBT:phase_pos",-0.00059,0.00335,605.00089,-0.17576,0.86054,0.0309,0.86048,FALSE,631,27
